# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
208.000000 2.87289093e+03 3.22074277e+01 9.10963620e+01
209.000000 2.88674326e+03 3.24263298e+01 9.17155107e+01
210.000000 2.90068659e+03 3.26202931e+01 9.22641218e+01
211.000000 2.91442915e+03 3.28289963e+01 9.28544238e+01
212.000000 2.92833229e+03 3.30221337e+01 9.34006987e+01
213.000000 2.94209138e+03 3.32299033e+01 9.39883597e+01
214.000000 2.95591514e+03 3.33895469e+01 9.44399002e+01
215.000000 2.96974295e+03 3.35569019e+01 9.49132515e+01
216.000000 2.98353013e+03 3.37644402e+01 9.55002584e+01
217.000000 2.99733561e+03 3.39766797e+01 9.61005626e+01
218.000000 3.01112306e+03 3.41395123e+01 9.65611225e+01
219.000000 3.02494953e+03 3.43537457e+01 9.71670662e+01
220.000000 3.03877032e+03 3.45528448e+01 9.77302034e+01
221.000000 3.05268419e+03 3.47593261e+01 9.83142209e+01
222.000000 3.06653907e+03 3.49800595e+01 9.89385490e+01
223.000000 3.08038464e+03 3.51631053e+01 9.94562809e+01
224.000000 3.09424880e+03 3.53776081e+01 1.00062986e+02
225.000000 3.10806485e+03 3.55960715e+01 1.00680894e+02
226.000000 3.12194624e+03 3.57608233e+01 1.01146883e+02
227.000000 3.13577085e+03 3.59407112e+01 1.01655682e+02
228.000000 3.14965484e+03 3.61280924e+01 1.02185676e+02
229.000000 3.16354685e+03 3.63240827e+01 1.02740021e+02
230.000000 3.17743958e+03 3.65055554e+01 1.03253303e+02
231.000000 3.19128601e+03 3.66762899e+01 1.03736213e+02
232.000000 3.20508659e+03 3.68536673e+01 1.04237912e+02
233.000000 3.21893542e+03 3.70042284e+01 1.04663763e+02
234.000000 3.23278504e+03 3.71711867e+01 1.05135993e+02
235.000000 3.24667735e+03 3.72900607e+01 1.05472219e+02
236.000000 3.26054530e+03 3.73949361e+01 1.05768851e+02
237.000000 3.27450434e+03 3.74842375e+01 1.06021434e+02
238.000000 3.28840219e+03 3.75992999e+01 1.06346880e+02
239.000000 3.30230077e+03 3.77037655e+01 1.06642353e+02
240.000000 3.31610505e+03 3.78473004e+01 1.07048331e+02
241.000000 3.32992822e+03 3.79601108e+01 1.07367407e+02
242.000000 3.34379745e+03 3.80617825e+01 1.07654978e+02
243.000000 3.35763019e+03 3.81257996e+01 1.07836046e+02
244.000000 3.37147581e+03 3.82159165e+01 1.08090935e+02
245.000000 3.38528752e+03 3.83270865e+01 1.08405371e+02
246.000000 3.39922652e+03 3.84095626e+01 1.08638649e+02
247.000000 3.41319895e+03 3.85331415e+01 1.08988183e+02
248.000000 3.42709159e+03 3.86462792e+01 1.09308184e+02
